model,fold,accuracy,precision,recall,f1,roc_auc,log_loss
LinearSVC_Calibrated,1,0.9227272727272727,0.8987341772151899,0.8875,0.8930817610062893,0.9793749999999999,0.1708994048390486
LinearSVC_Calibrated,2,0.9406392694063926,0.971830985915493,0.8625,0.9139072847682119,0.9898381294964028,0.12974021684728876
LinearSVC_Calibrated,3,0.9360730593607306,0.9583333333333334,0.8625,0.9078947368421053,0.9765287769784173,0.1741622652642009
LinearSVC_Calibrated,4,0.9269406392694064,0.9210526315789473,0.875,0.8974358974358975,0.9791366906474819,0.172141782777447
LinearSVC_Calibrated,5,0.958904109589041,1.0,0.8875,0.9403973509933775,0.9879496402877698,0.13853334856128324
NuSVC_RBF,1,0.9318181818181818,0.9113924050632911,0.9,0.9056603773584906,0.976875,0.17806713076919167
NuSVC_RBF,2,0.9315068493150684,0.9577464788732394,0.85,0.9006622516556292,0.9876798561151079,0.14327489765709744
NuSVC_RBF,3,0.9315068493150684,0.9710144927536232,0.8375,0.8993288590604027,0.978956834532374,0.16761987418228239
NuSVC_RBF,4,0.9360730593607306,0.9342105263157895,0.8875,0.9102564102564102,0.9784172661870504,0.18721644439329813
NuSVC_RBF,5,0.9452054794520548,0.9857142857142858,0.8625,0.92,0.9919064748201438,0.12383540994905397
RandomForest,1,0.9409090909090909,0.958904109589041,0.875,0.9150326797385621,0.9871428571428572,0.17376916193240327
RandomForest,2,0.9634703196347032,0.9864864864864865,0.9125,0.948051948051948,0.9946043165467625,0.18091259406355115
RandomForest,3,0.9223744292237442,0.9846153846153847,0.8,0.8827586206896552,0.9886241007194244,0.2067594114478224
RandomForest,4,0.9497716894977168,0.96,0.9,0.9290322580645162,0.9845773381294964,0.1907237618654273
RandomForest,5,0.958904109589041,1.0,0.8875,0.9403973509933775,0.991681654676259,0.1691791588633265
ExtraTrees,1,0.9545454545454546,0.9861111111111112,0.8875,0.9342105263157895,0.9754910714285715,0.4480168561870551
ExtraTrees,2,0.954337899543379,0.9861111111111112,0.8875,0.9342105263157895,0.9955485611510791,0.14374533807739762
ExtraTrees,3,0.9315068493150684,1.0,0.8125,0.896551724137931,0.989388489208633,0.1695190576263005
ExtraTrees,4,0.954337899543379,0.972972972972973,0.9,0.935064935064935,0.9794064748201439,0.46340829355216867
ExtraTrees,5,0.9634703196347032,1.0,0.9,0.9473684210526315,0.9748651079136691,0.4433221516367729
XGBoost,1,0.95,0.948051948051948,0.9125,0.9299363057324841,0.9883928571428571,0.13161271739192723
XGBoost,2,0.9452054794520548,0.9358974358974359,0.9125,0.9240506329113924,0.993794964028777,0.10520347802316184
XGBoost,3,0.9315068493150684,0.9710144927536232,0.8375,0.8993288590604027,0.9835431654676259,0.1618576812567558
XGBoost,4,0.954337899543379,0.9605263157894737,0.9125,0.9358974358974359,0.9911870503597122,0.11800907782434518
XGBoost,5,0.9680365296803652,1.0,0.9125,0.954248366013072,0.9928057553956834,0.09436525272109256
MLP_SVD,1,0.9318181818181818,0.9113924050632911,0.9,0.9056603773584906,0.9882142857142857,0.14450963394116603
MLP_SVD,2,0.9315068493150684,0.9710144927536232,0.8375,0.8993288590604027,0.9848021582733814,0.17143730364182916
MLP_SVD,3,0.9269406392694064,0.9102564102564102,0.8875,0.8987341772151899,0.9774280575539569,0.2031792113118929
MLP_SVD,4,0.9406392694063926,0.9466666666666667,0.8875,0.9161290322580645,0.9839928057553957,0.20766219851937492
MLP_SVD,5,0.9269406392694064,0.9444444444444444,0.85,0.8947368421052632,0.9741906474820144,0.18141119782459636
