group_id,size,diabetic_ratio,majority_label
0,8,0.0,0
1,86,1.0,1
2,139,0.8705035971223022,1
3,4,0.0,0
4,2,1.0,1
5,1,0.0,0
6,3,0.0,0
7,50,0.0,0
8,3,0.0,0
9,12,1.0,1
10,2,0.0,0
11,23,0.0,0
12,11,0.0,0
13,31,0.0,0
14,51,1.0,1
15,3,0.0,0
16,1,1.0,1
17,1,0.0,0
18,1,0.0,0
19,4,0.0,0
20,5,0.0,0
21,1,1.0,1
22,5,1.0,1
23,43,0.0,0
24,1,1.0,1
25,6,0.6666666666666666,1
26,5,1.0,1
27,12,1.0,1
28,7,1.0,1
29,1,1.0,1
30,27,1.0,1
31,2,0.0,0
32,7,1.0,1
33,5,1.0,1
34,3,1.0,1
35,1,0.0,0
36,5,0.0,0
37,5,1.0,1
38,1,0.0,0
39,24,0.0,0
40,5,1.0,1
41,1,1.0,1
42,1,0.0,0
43,3,0.0,0
44,18,0.0,0
45,1,1.0,1
46,9,1.0,1
47,12,0.0,0
48,32,0.0,0
49,5,0.0,0
50,6,0.0,0
51,3,0.0,0
52,19,0.0,0
53,19,0.0,0
54,4,1.0,1
55,4,0.0,0
56,2,1.0,1
57,3,0.0,0
58,9,1.0,1
59,7,0.0,0
60,13,0.0,0
61,1,0.0,0
62,1,0.0,0
63,6,0.0,0
64,3,0.0,0
65,35,0.0,0
66,2,1.0,1
67,7,0.0,0
68,1,0.0,0
69,8,1.0,1
70,7,1.0,1
71,15,1.0,1
72,11,0.0,0
73,6,1.0,1
74,13,0.0,0
75,2,0.0,0
76,1,0.0,0
77,1,1.0,1
78,3,1.0,1
79,7,0.0,0
80,14,0.0,0
81,14,0.0,0
82,1,1.0,1
83,14,1.0,1
84,3,1.0,1
85,2,0.0,0
86,1,0.0,0
87,17,1.0,1
88,1,0.0,0
89,5,0.0,0
90,3,0.0,0
91,1,0.0,0
92,1,1.0,1
93,2,1.0,1
94,2,1.0,1
95,2,1.0,1
96,1,0.0,0
97,2,0.0,0
98,8,0.0,0
99,7,0.0,0
100,10,0.0,0
101,4,0.0,0
102,19,1.0,1
103,5,0.0,0
104,2,1.0,1
105,2,0.0,0
106,10,0.0,0
107,1,0.0,0
108,1,0.0,0
109,11,0.0,0
110,1,0.0,0
111,7,1.0,1
112,3,0.0,0
113,2,0.0,0
114,2,1.0,1
115,2,1.0,1
116,1,0.0,0
117,3,0.0,0
118,2,0.0,0
119,7,0.0,0
120,1,0.0,0
121,3,0.0,0
122,1,1.0,1
123,1,0.0,0
124,3,0.0,0
125,1,0.0,0
126,3,1.0,1
127,3,0.0,0
128,4,0.0,0
129,2,1.0,1
130,4,0.0,0
131,1,0.0,0
132,1,0.0,0
133,4,0.0,0
134,2,1.0,1
135,1,0.0,0
136,3,0.0,0
137,1,1.0,1
138,3,1.0,1
139,5,1.0,1
140,1,1.0,1
141,5,1.0,1
142,2,0.0,0
143,2,0.0,0
144,4,0.0,0
145,8,0.0,0
146,5,0.0,0
147,9,1.0,1
148,1,0.0,0
149,3,1.0,1
150,4,0.0,0
151,8,1.0,1
152,1,0.0,0
153,5,1.0,1
154,2,0.0,0
155,2,0.0,0
156,1,0.0,0
157,1,1.0,1
158,2,0.0,0
159,3,0.0,0
160,4,0.0,0
161,2,0.0,0
162,3,0.0,0
163,1,0.0,0
164,7,0.0,0
165,2,1.0,1
166,1,1.0,1
167,1,0.0,0
168,1,0.0,0
169,1,0.0,0
170,2,0.0,0
171,2,0.0,0
172,6,1.0,1
173,8,1.0,1
174,1,1.0,1
175,1,0.0,0
176,2,0.0,0
177,2,1.0,1
178,5,0.0,0
179,4,0.0,0
180,2,0.0,0
181,2,1.0,1
182,5,0.0,0
183,6,1.0,1
184,5,0.0,0
185,1,1.0,1
186,1,1.0,1
187,3,0.0,0
188,1,0.0,0
189,2,0.0,0
190,6,0.0,0
191,3,1.0,1
192,1,1.0,1
193,1,0.0,0
194,2,0.0,0
195,4,1.0,1
196,1,0.0,0
197,3,1.0,1
198,1,1.0,1
199,6,1.0,1
200,1,1.0,1
201,1,0.0,0
202,2,1.0,1
203,1,0.0,0
204,1,0.0,0
205,7,0.0,0
206,8,1.0,1
207,2,0.0,0
208,2,0.0,0
209,3,0.0,0
210,1,0.0,0
211,1,0.0,0
212,1,1.0,1
213,1,0.0,0
214,1,1.0,1
215,1,0.0,0
216,8,0.0,0
217,5,0.0,0
218,3,0.0,0
219,1,1.0,1
220,2,1.0,1
221,3,1.0,1
222,5,0.0,0
223,1,1.0,1
224,2,1.0,1
